priority,loss,borough,station_complex,Longitude,Latitude
Stable,5360.216371,brooklyn,"Sheepshead Bay (B,Q)",-73.954511,40.58633
Secondary,0,brooklyn,Shepherd Av (C),-73.88075,40.67413
Secondary,0,brooklyn,"Smith-9 Sts (F,G)",-73.995039,40.673742
Stable,0,brooklyn,"Sterling St (2,5)",-73.950041,40.663756
Core,0,brooklyn,Sutter Av (L),-73.901,40.66966
Core,0,brooklyn,Sutter Av-Rutland Rd (3),-73.9226,40.662375
Secondary,0,brooklyn,Union St (R),-73.98311,40.677316
Core,0,brooklyn,"Utica Av (A,C)",-73.92953,40.679876
Secondary,0,brooklyn,Van Siclen Av (3),-73.889395,40.665449
Core,0,brooklyn,Van Siclen Av (C),-73.890792,40.67271
Core,0,brooklyn,"Van Siclen Av (J,Z)",-73.900126,40.678024
Core,0,brooklyn,"W 8 St-NY Aquarium (F,Q)",-73.975444,40.576041
Core,0,brooklyn,Wilson Av (L),-73.9103,40.6897
Secondary,0,brooklyn,"Winthrop St (2,5)",-73.947349,40.661473
Secondary,60843.07293,brooklyn,York St (F),-73.986751,40.701397
